,original_filename,page,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
103,GP_Delimitation_2019_Final-1-400.pdf,14,6,केबानिया,"1. केबानिया
2. गुदलिया
3. मोतीपुरा
4. कल्याणपुरा",केबानिया,"1. केबानिया
2. मोतीपुरा",,,,,
104,GP_Delimitation_2019_Final-1-400.pdf,14,7,,,कल्याणपुरा,"1. कल्याणपुरा
2. गुदलिया",,,,,
105,GP_Delimitation_2019_Final-1-400.pdf,14,,,पंचायत समिति,- श्रीनगर,,,,,,
106,GP_Delimitation_2019_Final-1-400.pdf,14,क्र.सं.,"वर्तमान
ग्रा ० प ०
नाम
का","वर्तमान ग्रा 0 प 0 में
| सम्मिलित ग्रामों का
नाम","पुनर्गठित / पुनर्सीमांकित / नवसृजित |
ग्रा ० प ० का नाम","पुनर्गठित /
पुनर्सीमांकित /
नवसृजित ग्रा ० प ० में
ग्रामों का नाम",,,,,
107,GP_Delimitation_2019_Final-1-400.pdf,14,1,2,3,4,5,,,,,
108,GP_Delimitation_2019_Final-1-400.pdf,14,1,गेगल,"1. गेगल
2. आखरी
3. दांता
4. चांदियावास
5. जाटली",गेगल,"1. गेगल
2. चांदियावास
3. आखरी",,,,,
109,GP_Delimitation_2019_Final-1-400.pdf,14,2,ऊंटडा,"1. ऊंटडा
2. सराना",ऊटडा,1. ऊंटडा,,,,,
110,GP_Delimitation_2019_Final-1-400.pdf,15,,,पंचायत समिति,- किशनगढ,,,,,,
111,GP_Delimitation_2019_Final-1-400.pdf,15,क्र.सं.,"वर्तमान
ग्रा ० प ०
नाम
का |","नाम
वर्तमान ग्रा 0 प 0 में
सम्मिलित ग्रामों का","पुनर्गठित / पुनर्सीमांकित / नवसृजित
ग्रा ० प ० का नाम","पुनर्गठित /
पुनर्सीमांकित /
नवसृजित ग्रा 0 प 0 में
ग्रामों का नाम",,,,,
112,GP_Delimitation_2019_Final-1-400.pdf,15,1,2,3,4,5,,,,,
